TIME,year,month,T#AT#pigmeat_e,T#BE#pigmeat_e,T#DE#pigmeat_e,T#DK#pigmeat_e,T#EL#pigmeat_e,T#ES#pigmeat_e,T#FI#pigmeat_e,T#FR#pigmeat_e,T#IE#pigmeat_e,T#LU#pigmeat_e,T#NL#pigmeat_e,T#PT#pigmeat_e,T#SE#pigmeat_e,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2007-09-03,2007,9,150.98,139.17,151.21,123.01,181.29,154.78,135.94,140.43,,151.57,133.87,163.43,142.72,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-09-10,2007,9,150.63,138.91,150.82,122.93,181.76,152.34,136.28,140.71,,151.46,133.85,161.14,142.84,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-09-17,2007,9,149.68,138.61,150.09,122.85,182.21,149.41,,140.29,133.81,150.8,133.34,158.14,143.82,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-09-24,2007,9,148.64,138.11,149.74,122.77,183.5,145.99,137.36,139.43,135.05,149.94,133.35,154.57,145.14,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-10-01,2007,10,148.38,137.87,149.47,122.68,184.51,142.06,138.24,138.29,136.03,149.94,133.59,150.29,147.3,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-10-08,2007,10,147.9,137.54,149.06,122.62,184.67,137.92,139.28,136.71,136.93,149.93,133.29,146.0,149.31,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-10-15,2007,10,146.35,135.9,147.11,122.39,184.93,133.19,140.28,134.86,137.52,149.53,,141.29,151.41,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-10-22,2007,10,143.78,,,121.99,184.45,129.05,141.06,132.43,137.84,147.03,,137.71,153.56,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-10-29,2007,10,141.17,,142.02,121.6,183.75,125.59,141.79,130.0,138.19,,,135.0,155.49,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-11-05,2007,11,139.15,128.5,140.02,121.21,182.25,123.02,142.3,128.0,138.19,142.73,124.57,133.14,156.93,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-11-12,2007,11,137.23,126.7,138.17,120.83,179.56,121.2,143.12,126.43,137.94,141.01,122.67,131.86,158.02,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-11-19,2007,11,135.71,125.37,136.59,120.44,176.68,120.0,143.6,125.0,137.38,139.36,121.06,131.14,158.66,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-11-26,2007,11,134.49,124.43,135.03,120.03,174.39,119.38,143.94,124.0,136.82,137.73,119.99,130.71,158.73,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-12-03,2007,12,134.13,124.17,134.68,119.79,172.12,119.98,144.15,123.43,136.24,135.91,119.59,131.29,158.72,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-12-10,2007,12,134.43,124.57,134.84,118.83,170.66,121.26,144.5,123.14,135.64,136.16,119.85,132.43,156.67,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-12-17,2007,12,134.76,125.0,135.05,117.0,169.42,122.72,144.64,122.86,134.77,136.31,120.15,134.14,153.91,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-12-24,2007,12,135.3,125.44,135.25,115.17,169.12,124.09,144.97,122.71,133.97,136.4,120.38,135.86,150.78,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-12-31,2007,12,135.66,125.59,135.28,113.34,169.32,125.78,145.24,122.57,133.34,136.67,120.63,137.71,147.68,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2008-01-07,2008,1,135.81,125.36,135.28,111.53,169.44,127.28,146.2,122.43,132.71,136.64,120.58,139.71,144.36,,,,,,,,,,,,
2008-01-14,2008,1,135.75,125.16,135.33,109.73,169.46,128.47,147.09,122.29,132.15,136.6,120.54,141.43,141.32,,,,,,,,,,,,
2008-01-21,2008,1,135.71,125.0,135.33,107.92,169.12,129.15,148.0,122.14,131.6,136.8,120.51,142.57,138.28,,,,,,,,,,,,
2008-01-28,2008,1,135.8,124.74,135.34,107.06,168.19,129.35,148.78,122.0,131.06,136.9,120.5,143.0,137.2,3.35,2.7,2.49,2.25,3.52,4.42,46595.87,39627.41,43910.16,43819.53,34259.56,61371.67
2008-02-04,2008,2,135.94,124.63,135.59,107.08,166.93,129.74,149.73,122.0,130.84,137.09,120.48,143.0,137.1,3.73,2.91,2.53,2.43,3.71,4.3,47165.05,40066.58,44477.67,44385.01,34676.62,61365.48
2008-02-11,2008,2,136.21,124.57,,107.09,,130.6,150.59,122.0,130.58,137.93,121.15,143.0,137.09,4.11,3.13,2.58,2.62,3.89,4.18,47734.22,40505.75,45045.19,44950.48,35093.67,61359.29
2008-02-18,2008,2,137.3,125.71,,108.1,163.83,132.09,151.17,122.29,130.43,138.51,,143.71,137.71,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-02-25,2008,2,,126.91,,109.51,162.3,134.63,151.08,122.86,130.58,,,145.29,138.34,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-03-03,2008,3,,,141.23,111.06,161.12,137.78,151.15,124.14,130.69,141.54,,147.14,139.53,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-03-10,2008,3,141.63,,143.44,113.08,160.34,141.29,151.12,,130.83,143.69,126.96,149.29,140.99,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-03-17,2008,3,143.42,132.17,145.65,115.1,159.7,144.84,151.26,,131.39,145.73,128.99,151.43,142.38,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-03-24,2008,3,145.25,134.53,147.72,117.11,158.92,148.39,151.39,,131.89,147.9,131.03,153.57,143.02,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-03-31,2008,3,146.95,136.89,148.93,119.67,158.16,151.74,151.41,135.57,132.58,149.31,132.67,155.57,143.85,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-04-07,2008,4,146.38,137.39,149.04,121.69,157.66,153.85,151.62,138.0,133.87,150.73,133.1,156.86,144.05,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-04-14,2008,4,145.06,137.46,148.94,123.3,156.97,154.68,151.7,139.57,135.16,150.64,133.1,156.43,144.37,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-04-21,2008,4,143.92,137.26,149.04,124.24,156.16,154.75,151.54,140.0,136.45,150.89,132.71,155.71,144.7,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-04-28,2008,4,143.19,137.59,149.44,125.2,156.45,153.95,151.45,139.29,137.69,151.43,132.85,154.57,144.86,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
