TIME,year,month,T#AT#IT,T#AU#IT,T#BE#IT,T#CH#IT,T#CY#IT,T#CZ#IT,T#DE#IT,T#DK#IT,T#ES#IT,T#FR#IT,T#GB#IT,T#GR#IT,T#HR#IT,T#HU#IT,T#IL#IT,T#MT#IT,T#NL#IT,T#NO#IT,T#PL#IT,T#PT#IT,T#RO#IT,T#RU#IT,T#SE#IT,T#SI#IT,T#SK#IT,T#TR#IT,T#US#IT,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione
2013-10-01,2013,10,759777.0,362940.71,254994.43,401115.29,,30256.57,4322689.86,46807.57,89985.57,1627213.43,582586.43,206329.71,19962.14,,,,1096195.71,,260878.86,17397.29,178182.0,,,218942.71,,,535673.29,46757.95,35560.08,46298.92,42602.72,29077.18,51496.96,1.11,1.22,1.5,0.86,1.41,0.51
2013-11-01,2013,11,737710.14,344370.86,254232.14,402178.86,,46895.57,4278039.29,42745.29,98262.86,1644493.29,537861.14,217017.57,21181.43,,,,1098468.71,,265781.71,24199.71,180283.29,,,222344.29,,,582109.86,46757.95,35560.08,46298.92,42602.72,29077.18,51496.96,1.11,1.22,1.5,0.86,1.41,0.51
2013-12-01,2013,12,652821.0,359691.57,,363826.14,,50498.0,3914171.14,41669.14,88311.86,1509922.14,446457.14,74785.14,17915.86,,,,1003270.29,,266322.71,23979.14,172703.43,,41804.86,217690.86,,,587102.14,46757.95,35560.08,46298.92,42602.72,29077.18,51496.96,1.11,1.22,1.5,0.86,1.41,0.51
2014-01-01,2014,1,663836.86,317552.43,227576.43,345113.71,,56698.86,3975664.57,36186.71,92292.0,1569603.43,419164.86,70944.0,17790.43,,,,1027179.0,44031.0,259453.0,24418.71,166412.43,,48287.57,212548.29,,,570201.29,46901.68,35560.89,46545.34,42669.27,29139.53,52104.93,1.0,1.08,1.42,0.81,1.19,0.46
2014-02-01,2014,2,577735.29,301240.57,250531.86,304527.29,,63166.43,3830779.57,27350.57,88435.57,1562788.43,413236.29,78725.86,29414.29,,,,1066171.71,46762.86,273937.43,20309.0,159777.57,,43906.57,230675.0,,,572356.29,47045.41,35561.69,46791.76,42735.81,29201.89,52712.91,0.89,0.94,1.33,0.76,0.96,0.42
2014-03-01,2014,3,642485.71,310846.71,263970.0,342335.43,,66040.71,4266033.29,28435.14,91347.0,1773784.0,468273.71,80686.57,39012.71,60042.86,,,1198413.71,51428.0,311716.0,31004.86,181767.71,,54538.29,246680.43,,,584104.86,,35562.5,,42802.36,,,,,,0.71,,0.37
2014-04-01,2014,4,636281.86,323633.86,259507.0,356347.71,,69983.86,4344256.14,27011.0,81874.86,1807669.43,499135.86,65820.43,37813.71,54959.71,,11888.43,1187604.86,54958.14,,29409.86,171149.29,62100.71,54591.71,264303.14,34309.29,48147.14,645248.86,47332.88,35563.3,47284.61,42868.91,29326.59,53928.85,0.67,0.66,1.16,0.66,0.52,0.32
2014-05-01,2014,5,644315.29,319048.29,266947.57,354165.86,,73995.57,4348225.71,26795.86,66736.29,1687391.14,490989.86,77403.29,41010.57,54912.71,,15396.0,1201676.57,50703.43,361442.71,29215.86,175997.43,58882.29,62419.29,293809.57,45731.57,55659.57,670769.0,47476.61,35564.11,47531.03,42935.45,29388.95,54536.82,0.56,0.52,1.08,0.61,0.29,0.28
2014-06-01,2014,6,652708.86,318954.71,263839.14,359525.29,,71958.0,4347421.86,29813.29,68105.29,1665290.14,525757.43,83122.14,51246.86,64795.14,,22053.71,1218133.29,54923.0,377835.14,20222.43,183177.29,73690.43,61930.29,298236.86,52365.71,50900.71,700724.71,47620.34,35564.92,47777.45,43002.0,29451.3,55144.79,0.45,0.38,0.99,0.56,0.07,0.23
2014-07-01,2014,7,705901.71,296745.0,273597.43,401600.0,,102449.86,4754421.71,39855.71,82123.86,1731387.29,608106.57,84912.71,50886.71,59711.86,,27110.86,1305686.43,55610.0,420203.14,21507.0,209380.43,78602.14,71634.43,320302.71,63613.14,59829.29,756041.43,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76,0.34,0.24,0.91,0.51,-0.15,0.18
